Record Number,Publication Info.,Call No.,Horizon checkouts,Old in-house uses,Checkout Date,Standard No.,Title,CNY,Only at Pratt,Held at other library
i11586801,"Chicago : Association of College & Research Libraries, 1999.",021.7 T475F,0,,  -  -    ,0838980023 (alk. paper),"Friends of college libraries / compiled by Ronelle K.H. Thompson, Ann M. Smith.",X,,
i11587878,"Foster City, CA : IDG Books Worldwide, c1996.",652.5 M626GO,2,,  -  -    ,076450052X,Word 97 for Windows for dummies / by Dan Gookin.,ONLY PRATT,,
i1158838x,"New York : Anchor Books : Doubleday, 1996, c1995.",303.4833 S875S,1,1,  -  -    ,385419945,Silicon snake oil : second thoughts on the information highway / Clifford Stoll.,,,
i11595966,"New York : McGraw-Hill, c1995.",621.31 D121,2,,  -  -    ,0070150788 (alk. paper),Electrical systems for architects / Aly S. Dadras.,X,,
i1159620x,"New York : Hyperion, 1995.",362.4 H685H,1,1,  -  -    ,0786860782;0786881623,"Moving violations : war zones, wheelchairs, and declarations of independence / John Hockenberry.",X,,
i11598712,"Washington, DC : U.S. Dept. of Housing and Urban Development, [1997-",690.802 R345,3,,  -  -    ,,The rehab guide.,ONLY PRATT,,
i11598724,"Washington, DC : U.S. Dept. of Housing and Urban Development, [1997-",690.802 R345,2,,  -  -    ,,The rehab guide.,ONLY PRATT,,
i11598736,"Washington, DC : U.S. Dept. of Housing and Urban Development, [1997-",690.802 R345,0,0,  -  -    ,,The rehab guide.,ONLY PRATT,,
i11599832,"Upper Saddle River, NJ : Prentice Hall, c2000.",340.11 V689,7,,  -  -    ,130104205,Law and society / Steven Vago.,,,
i11599935,"London ; Boston : International Thomson Computer Press, c1997.",005.43 J88,5,1,  -  -    ,1850322635,Beginning UNIX / Mike Joy.,ONLY PRATT,,
i11600020,"Harrisburg, Pa. : CADQUEST, 1998.",620.0042 P964S,0,,  -  -    ,966925114,Basic Pro/ENGINEER(R) design / Steven G. Smith.,ONLY PRATT,,
i11604864,"Tallahassee, FL : Durwood, c1993.",643.3 G878,8,,  -  -    ,0927412020 (pbk.),Lighting kitchens and baths / Jane Grosslight ; illustrations by Jeffrey W. Verheyen.,ONLY PRATT,,
i1160489x,"Cambridge ; New York : Cambridge University Press, 1979.",193 N677ZS,1,,  -  -    ,0521221269 : $19.00,A study of Nietzsche / J. P. Stern.,X,,
i11605236,"New York : McGraw-Hill, c1996.",428.24 K59,0,,  -  -    ,0070349169 (grammar);0070550301 (writing);0070349177 (reading);0070631484 (list/speak);0070503389 (multi-skills);0070349185 (instr.manual),Interactions one / Elaine Kirn ... [et al.],ONLY PRATT,,
i11605248,"New York ; London : McGraw-Hill, c1996.",428.24 C579H,1,,  -  -    ,0070094292 (pbk) : L.7.95,The ESL reader's companion to The house on Mango Street by Sandra Cisneros / Linda Butler.,ONLY PRATT,,
i11605285,"Cambridge, Mass. : Harvard University Press, c1995.",070.19 S384,5,,  -  -    ,0674695860 (acid-free paper),The power of news / Michael Schudson.,X,,
i11605911,"Albany, N.Y. : State University of New York Press, c1999.",307.12 U72,4,,  -  -    ,0791442594 (hc. : alk. paper);0791442608 (pbk. : alk. paper),The urban growth machine : critical perspectives two decades later / edited by Andrew E.G. Jonas and David Wilson.,X,,
i11605947,"New York, N.Y. : St. Martin's Press, 1999.",363.58095 W246,0,,  -  -    ,0312172419;033368253X (Macmillan Press),Housing policy and practice in China / Ya Ping Wang and Alan Murie.,X,,
i11610839,"Lawrence, Kan. : University Press of Kansas, c1998.",342.730853 S555,0,,  -  -    ,0700608893 (cloth : alk. paper),Campus hate speech on trial / Timothy C. Shiell.,,,
i11611637,"New York : McGraw-Hill, c1993.",604.24 F876,0,,  -  -    ,70223475,"Engineering drawing and graphic technology / Thomas E. French, Charles J. Vierck, Robert J. Foster.",,,
i11612290,"Phoenix, Ariz. : Oryx Press, 1999.",026.34007 L496,2,,  -  -    ,0897749634 (paper : alk. paper);0897749618 (case : alk. paper),"Legal information : how to find it, how to use it / by Kent C. Olson.",X,,
i1161500x,"New York : W.W. Norton & Company, c1999.",393.3 B234,1,1,  -  -    ,393045218,The mummies of Urumchi / Elizabeth Wayland Barber.,X,,
i11615072,"New York : Random House, c1999.",378.47004 B869,0,,  -  -    ,0375502777 (alk. paper),The nudist on the late shift / Po Bronson.,X,,
i11615126,"Lincolnwood, Ill. : NTC Business Books, c1999.",001.433 E24,2,1,  -  -    ,844202886,The focus group research handbook / Holly Edmunds.,X,,
i11615199,"New York : Haworth Press, c1997.",616.8916 F267,9,,  -  -    ,0789001365 (alk. paper);0789001861 (pbk),A practical guide to art therapy groups / Diane Fausek.,ONLY PRATT,,
i11617147,"Boston, Houghton-Mifflin [1970]",301.364 R697,0,,  -  -    ,,Nations and cities; a comparison of strategies for urban growth.,X,,
i11617160,"Englewood, N.J., Aloray [1974]",332.63 G625,0,,  -  -    ,913690017,"Financing real estate development. Harry A. Golemon, editor [for the] American Institute of Architects.",,,
i11618504,"Nashville : Upper Room Books, c1999.",270.09 H859,2,,  -  -    ,835809064,"Servants, misfits, and martyrs : saints and their stories / James C. Howell.",ONLY PRATT,,
i11621187,"Chicago : Bonus Books, c1998.",659.1 L674C,6,,  -  -    ,156625101X (hardcover),The complete advertising and marketing handbook : your twenty-first century advertising and marketing manual is available right now / Herschell Gordon Lewis.,X,,
i11621382,"New York : Columbia University Press, c1999.",190 C726,0,1,  -  -    ,0231101287 (alk. paper),The Columbia history of Western philosophy / edited by Richard H. Popkin.,X,,
i11621618,"Medford, N.J. : CyberAge Books, c1999.",371.334 J83,3,,  -  -    ,0910965307 (pbk.),Net curriculum : an educator's guide to using the Internet / by Linda C. Joseph.,X,,
i11622763,"New York : Twenthieth Century Fund, 1996.",307.760973 B828,4,2,  -  -    ,870783793,"Breaking away : the future of cities : essays in memory of Robert F. Wagner, Jr. / Julia Vitullo-Martin, editor.",X,,
i11622878,"Princeton, N.J. : Princeton University Press, c1988.",335.83 A963,2,,  -  -    ,0691047537 (alk. paper) : $27.50;0691006091 (pbk) :,Anarchist portraits / Paul Avrich.,X,,
i11626318,"New York : H.W. Wilson, 2000.",371.78 S372,0,,  -  -    ,0824209826 (pbk. : alk. paper),School violence / edited by Denise M. Bonilla.,X,,
i11626707,"Buffalo : Firefly Books, 2000.",599.88 R969,6,,  -  -    ,1552094537,Orangutans : wizards of the rain forest / Anne E. Russon.,X,,
i11626860,"New Haven : Yale University Press, c1996.",220.95 B751,0,,  -  -    ,0300064888 (cloth : alk. paper),The Bible for children : from the age of Gutenberg to the present / Ruth B. Bottigheimer.,X,,
i11628480,"Chicago : Ivan R. Dee, 2000.",307.760973 M646,0,,  -  -    ,1566632854,The millennial city : a new urban paradigm for 21st-century America / edited with an introduction by Myron Magnet.,X,,
i11628674,"New York : Black Dog & Leventhal Publishers : Distributed by Workman Pub., c1998.",629.1333 E22M,2,,  -  -    ,1579120253,"The magnificent book of kites : explorations in design, construction, enjoyment & flight / Maxwell Eden.",ONLY PRATT,,
i11629113,"New York : Henry Holt & Co., 1999.",333.794 B496,1,1,  -  -    ,805037713,Charging ahead : the business of renewable energy and what it means for America / John J. Berger.,,,
i11629770,"New York : New Press : Distributed by W.W. Norton, c1998.",305.230941 A21,2,,  -  -    ,1565844653,"42 up : ""give me the child until he is seven, and I will show you the man"" : a book based on Michael Apted's award-winning documentary series / edited by Bennett Singer.",ONLY PRATT,,
i11630371,"Mission Viejo, CA : League for Innovation in the Community College, 1999.",371.334 B673,1,,  -  -    ,,"Faculty guide for moving teaching and learning to the Web / Judith V. Boettcher, Rita-Marie Conrad.",X,,
i11631302,"Ithaca, N.Y. : Cornell University Press, 1996.",363.45 F913,3,,  -  -    ,080143274X (alk. paper),NarcoDiplomacy : exporting the U.S. war on drugs / H. Richard Friman.,X,,
i11631387,"New York : Grove Press, c1987.",306.10973 S844,5,,  -  -    ,802135870,Storming heaven : LSD and the American dream / Jay Stevens.,,,
i11631405,"New York : Free Press, c1991.",355.02 V223,3,,  -  -    ,0029331552 : $22.95,The transformation of war / Martin van Creveld.,X,,
i11636853,"Washington, D.C. : American Association for Higher Education, c1997.",378.7302 L438,0,,  -  -    ,1563770040,"Learning through assessment : a resource guide for higher education / Lion F. Gardiner, Caitlin Anderson, and Barbara L. Cambridge, editors.",X,,
i11636865,"Washington, DC : American Association for Higher Education, c1997.",378.7302 A22,0,,  -  -    ,1563770261,Assessing impact : evidence and action : presentations from the 1997 AAHE Conference on Assessment & Quality / Ellen Earle Chaffee ... [et al.].,X,,
i11637468,"Washington, DC : AAHE Assessment Forum, 1990.",378.73 A846,0,,  -  -    ,,"Assessment programs and projects : a directory / Jacqueline Paskow, editor ; updated by Elizabeth Francis.",ONLY PRATT,,
i11637523,"Jefferson, NC : McFarland & Co., c1999.",323.448 P483,0,,  -  -    ,0786407069 (lib. bdg. : alk. paper),Computerized monitoring and online privacy / by Thomas A. Peters.,X,,
i11637596,"Medford, NJ : Published for the American Society for Information Science by Information Today, 1998.",658.4038 C548,,,  -  -    ,1573870579 (hardcover);1573870188 (hardcover),Information management for the intelligent organization : the art of scanning the environment / Chun Wei Choo.,X,,
i11638436,"Medford, N.J. : CyberAge Books, 2000.",658.47 M648,2,,  -  -    ,910965285,Millennium intelligence : understanding and conducting competitive intelligence in the digital age / Jerry Miller and the Business Intelligence Braintrust.,X,,
i1163862x,"Englewood, Colo. : Libraries Unlimited, 1999.",371.35 V815,1,,  -  -    ,1563087146 (paper),"Virtual instruction : issues and insights from an international perspective / [edited by] Carine M. Feyten, Joyce W. Nutta.",,,
i11639337,"Boston : Houghton Mifflin, c2000.",070.50973 H463N,2,1,  -  -    ,395827590,The chief : the life of William Randolph Hearst / David Nasaw.,,,
i11642269,"Boston : Little, Brown, c1999.",071.47 N532T,4,2,  -  -    ,316845469,"The trust : the private and powerful family behind the New York Times / Susan E. Tifft, Alex S. Jones.",X,,
i11642324,"Berkeley, Calif. : Peachpit Press, c1998.",686.22402 W726,0,,  -  -    ,201696401,How to boss your fonts around : a primer on font technology and font management on the Macintosh / Robin Williams.,,,
i11642579,"New York : J. Wiley, c2000.",529.3 S813,3,,  -  -    ,0471298271 (alk. paper),Marking time : the epic quest to invent the perfect calendar / Duncan Steel.,X,,
i11642580,"Detroit, MI : Visible Ink Press, c1999.",016.791437 S951,3,,  -  -    ,1578590906 (pbk.),VideoHound's independent film guide / Monica Sullivan ; foreword by John Pierson.,X,,
i11644151,"New York : Norton, c1999.",330.9005 S797,4,,  -  -    ,039331815X,"State of the world, 1999 : a Worldwatch Institute report on progress toward a sustainable society / project director, Lester R. Brown ; associate project directors, Christopher Flavin, Hilary F. French ; editor, Linda Starke ; contributing researchers, Janet N. Abramovitz ... [et al.].",X,,
i11644655,"Chicago : Ivan R. Dee, c2000.",333.72097 R846,3,,  -  -    ,1566632889 (cloth : alk. paper);156663301X (paper : alk. paper),Saving the planet : the American response to the environment in the twentieth century / Hal K. Rothman.,X,,
i11644874,"San Francisco : HarperSanFrancisco, c2000.",362.19697 J76,2,,  -  -    ,0062516418 (cloth);0062516426 (pbk.),"Stitching a revolution : the making of an activist / Cleve Jones, with Jeff Dawson.",X,,
i11644941,"New York : New Press : Distributed by W.W. Norton, 2000.",364.155 H684,0,0,  -  -    ,1565846192 (pbk.),Bandits / Eric Hobsbawm.,X,,
i11646275,"New York : Modern Library, 1999.",306.106 T472,3,,  -  -    ,067960331X (alk. paper);9780679603313 (alk. paper),Hell's Angels : a strange and terrible saga / Hunter S. Thompson.,X,,
i11650011,"New York : Plume, 1999.",616.97 Y76,1,,  -  -    ,452279666,"Allergies : the complete guide to diagnosis, treatment, and daily management / Stuart H. Young, Bruce S. Dobozin, Margaret Miner ; foreword by Lynn M. Taussig.",,,
i11651003,"Portland, Me. : Astarte Shell Press, c1993.",128.3 B639,5,,  -  -    ,0962462675 : $14.95;0962462775,The rest of the deer : an intuitive study of intuition / by Margaret Blanchard ; illustrations by Sowbel.,ONLY PRATT,,
i1165188x,"New York : John Wiley, c1994.",333.731 L985,1,,  -  -    ,0471555827 (recycled paper),Regenerative design for sustainable development / John Tillman Lyle.,X,,
i11652950,"New York : Springer, c1999.",658.4038 L419,0,,  -  -    ,0387987061 (alk. paper),The economic value of information / David B. Lawrence.,X,,
i11653310,"Chichester ; New York : Wiley, c1997.",658.4038 R386,0,,  -  -    ,0471975001 (cloth),"Achieving maximum value from information systems : a process approach / Dan Remenyi, Michael Sherwood-Smith, with Terry White.",X,,
i11653486,"London ; Washington, DC : Pitman, 1996.",658.0438 M877,2,,  -  -    ,273625357,"The intelligent manager : adding value in the information age / Steve Morris, John Meed, Neil Svensen.",ONLY PRATT,,
i1165451x,"Cambridge, U.K. ; New York, NY USA : Cambridge University Press, 2000.",180 M848,0,,  -  -    ,0521621801 (hb),Myth and philosophy from the pre-Socratics to Plato / Kathryn A. Morgan.,X,,
i1165563x,"New York : Pantheon Books, 1996.",305.9066 J23,4,,  -  -    ,679415777,The invisibles : a tale of the eunuchs of India / Zia Jaffrey.,X,,
i11656682,"New York : Simon and Schuster, c1990.",296.3 W386,1,1,  -  -    ,0671673912 : $18.95,What's so bad about guilt? : learning to live with it since we can't live without it / Harlan J. Wechsler.,X,,
i11657571,"New York : Random House, c1999.",155.67 H654,1,,  -  -    ,375501207,The force of character : and the lasting life / James Hillman.,,,
i11658587,"Cambridge, Mass. ; London : Harvard University Press, 2000.",338.477 C381,3,,  -  -    ,0674001648 (cloth : alk. paper),Creative industries : contracts between art and commerce / Richard E. Caves.,X,,
i11659555,"Cambridge, Mass. : MIT Press, c1994.",620.0042 B918,1,,  -  -    ,262023776,Designing engineers / Louis L. Bucciarelli.,X,,
i11659725,"Cambridge, Mass. : Harvard University Press, 2000.",349.7 A528,0,,  -  -    ,067400289X (alk. paper),"Minding the law / Anthony G. Amsterdam, Jerome Bruner.",X,,
i11659737,"Westport, Conn. : Praeger, 2000.",321.801 B396,0,,  -  -    ,0275966321 (alk. paper);0275970906 (pbk.),The future of teledemocracy / Ted Becker and Christa Daryl Slaton.,X,,
i11659786,"cLanham, Md. : Rowman & Littlefield Publishers, c2000.",322.1 E36,0,,  -  -    ,0847696189 (cloth : alk. paper);0847696197 (pbk. : alk. paper),The next religious establishment : national identity and political theology in post-Protestant America / Eldon J. Eisenach.,X,,
i11661914,"London ; New York : Routledge, 1999.",306.765 B621,4,1,  -  -    ,0415166594 (hb : alk. paper);0415166608 (pb : alk. paper),Bisexuality : a critical reader / [edited by] Merl Storr.,X,,
i11663339,"New York : Free Press ; Toronto : Maxwell Macmillan Canada ; New York : Maxwell Macmillan International, 1993, 1991.",302.73085 G558,0,,  -  -    ,0029118239 (pb),Rights talk : the impoverishment of political discourse / Mary Ann Glendon.,X,,
i11663340,"Boston : Houghton Mifflin, 1994.",347.7326 T455M,0,,  -  -    ,395633184,Strange justice : the selling of Clarence Thomas / Jane Mayer and Jill Abramson.,,,
i11663352,"Trenton, NJ : Africa World Press, 1996.",200.97 B622,2,,  -  -    ,0865433429 (pbk.) : $16.95,History of religions in the Caribbean / Dale Bisnauth.,X,,
i11664332,"Alexandria, VA : Time-Life Books, 1978, c1972.",635.965 C938,2,2,  -  -    ,,Flowering house plants / by James Underwood Crockett and the editors of Time-Life Books.,ONLY PRATT,,
i11665427,Shelburne [1957],684.082 S544W,4,,  -  -    ,,"Woodworking tools at Shelburne Museum, by Frank H. Wildung.",,,
i11666067,"New York : Lyons Press, c2001.",179.1 W717,3,,  -  -    ,1585741876,Ill nature : rants and reflections on humanity and other animals / Joy Williams.,X,,
i11668891,"Chicago : American Library Association, 2001.",020.71 R988,0,,  -  -    ,0838935087 (alk. paper),"Information literacy toolkit. Grades 7 and up / Jenny Ryan, Steph Capra.",X,,
i11670356,"New Brunswick, N.J. : Transaction Publishers, c2001.",150.195209 R628,2,,  -  -    ,0765800195 (alk. paper),The historiography of psychoanalysis / Paul Roazen.,X,,
i11671889,"New York : HarperBusiness, c2001.",658.406 H224,0,,  -  -    ,0066621127 (pb),Reengineering the corporation : a manifesto for business revolution / Michael Hammer & James Champy.,X,,
i11672432,"Chicago : American Library Association, 2001.",098.1 S281,1,,  -  -    ,0838908071 (alk. paper),Teaching banned books : 12 guides for young readers / Pat R. Scales.,,,
i11673746,"New York : Atlantic Monthly Press, c1990.",153.7 G458,0,,  -  -    ,0871133350 : $19.95,"The farther shore : a natural history of perception, 1798-1984 / Don Gifford.",X,,
i11673801,"London ; New York : Routledge, 2000.",305.8 B717,1,,  -  -    ,0415171199 (hb);0415171202 (pb),Anti-racism / Alastair Bonnett.,,,
i11674258,"New York, NY : Perennial, c2001.",306.48 N992,1,,  -  -    ,688167721,Parental advisory : music censorship in America / by Eric Nuzum.,X,,
i11674714,"New York : W.H. Freeman, c1996.",573.2 A552,1,,  -  -    ,0716729989 (hard cover);0716731347 (pbk),Evolution isn't what it used to be : the augmented animal and the whole wired world / Walter Truett Anderson.,X,,
i11675810,"Cambridge, Mass. : Harvard University Press, 1998.",073 F919,0,0,  -  -    ,0674748824 (pbk.),Reading Berlin 1900 / Peter Fritzsche.,,,
i11676206,"Cambridge, Mass. : Belknap Press of Harvard University Press, c2000.",305.8 G489,0,,  -  -    ,067400096X (alk. paper),Against race : imagining political culture beyond the color line / Paul Gilroy.,X,,
i11676243,"Berkeley ; London : University of California Press, c1984 (1987 [printing])",306.0899 D184,0,,  -  -    ,0520061675 (pbk) : £15.00,Fluid signs : being a person the Tamil way / E. Valentine Daniel.,X,,
i11676267,"Berkeley : University of California Press, c1999.",305.40951 R719,0,,  -  -    ,0520210786 (alk. paper);0520210794 (alk. paper),Other modernities : gendered yearnings in China after socialism / Lisa Rofel.,,,
i11676425,"Oxford ; New York : Oxford University Press, 1999.",305.4201 M712,0,,  -  -    ,019812242X,What is a woman? : and other essays / Toril Moi.,X,,
i11676449,"Berkeley, Calif. : Ten Speed Press, c1989.",658.041 W616,2,1,  -  -    ,898152372,"Running a one-person business / Claude Whitmyer, Salli Rasberry, and Michael Phillips.",X,,
i11677405,"New York, N.Y. : Facts on File, c1984.",651.755 B724,1,,  -  -    ,871969068,Send me a memo : a handbook of model memos / by Dianna Booher.,X,,
i11679499,"New York, Hastings House [1967]",620.0042 D457,0,,  -  -    ,,Design and planning 2: Computers in design and communication. Edited by Martin Krampen and Peter Seitz.,,,
i1167958x,"New York : Talk Miramax Books/Hyperion, [2001], c1999.",365.45 O93O,0,,  -  -    ,786867329,Stolen lives : twenty years in a desert jail / Malika Oufkir and Michele Fitoussi ; translated by Ros Schwartz.,X,,
i11679591,"New York : Talk Miramax Books/Hyperion, [2001], c1999.",365.45 O93O,1,,  -  -    ,786867329,Stolen lives : twenty years in a desert jail / Malika Oufkir and Michele Fitoussi ; translated by Ros Schwartz.,X,,
i11679608,"[New York, N.Y. : The Service, 1993?]",362.14 V831H,0,,  -  -    ,,"Healing at home : Visiting Nurse Service of New York, 1893-1993 / [Ellen Paul Denker, editor].",ONLY PRATT,,
i1168060x,"University Park, Pa. : Pennsylvania State University Press, c2001.",327.127 M443,2,,  -  -    ,0271020660 (cloth : alk. paper),"America's strategic blunders : intelligence analysis and national security policy, 1936-1991 / Willard C. Matthias.",X,,
i11680635,"New York : Wiley, c2000.",659.1 A596,1,,03-01-2018 17:56:59.0,0471354880 (cl. : alk. paper),Another one bites the grass : making sense of international advertising / Simon Anholt.,X,,
i11680684,"Westport, Conn. : Quorum, 1999.",658 C156,0,,  -  -    ,1567203159 (alk. paper),The realities of management : a view from the trenches / Royce L. Callaway.,X,,
i11680908,"San Francisco : Jossey-Bass Publishers, c1995.",350 C678,0,,  -  -    ,0787900877 (acid-free paper),"The new effective public manager : achieving success in a changing government / Steven Cohen, William Eimicke.",ONLY PRATT,,
i1168091x,"New York : Bantam Books, c1997.",616.5 B186,4,1,  -  -    ,0553097199 (hc),"The life of the skin / Arthur K. Balin, Loretta Pratt-Balin, and Marietta Whittlesey ; foreword by Albert M. Kligman.",X,,
i11681329,"New York : Free Press, 2001, c2000.",192 R961M,0,,  -  -    ,743212150,"Bertrand Russell : the ghost of madness, 1921-1970 / Ray Monk.",X,,
i11681688,"Amherst, N.Y. : Prometheus Books, 1996.",181.9 A953A,0,,  -  -    ,1573920843 (alk. paper),Averroës and the Enlightenment / edited by Mourad Wahba & Mona Abousenna ; foreword by Boutros Boutros-Ghali.,X,,
i11681706,"New York : Harcourt Brace Jovanovich, c1970.",303.483 M962,0,,  -  -    ,151639744,The pentagon of power / by Lewis Mumford.,,,
i11681718,"Upper Saddle River, N.J. : Prentice Hall, c2001.",001 R288,0,,  -  -    ,130285668,"Reason and culture : an introduction to philosophy / edited by John Arthur, Amy Shapiro, William Throop.",ONLY PRATT,,
i11681779,"New York : Doubleday, c2001.",220.5203 B582M,3,,  -  -    ,038549890X,"In the beginning : the story of the King James Bible and how it changed a nation, a language, and a culture / Alister E. McGrath.",X,,
i11682243,"New York : Nan A. Talese, c1999.",232 C132,1,,03-05-2018 16:16:10.0,0385482515 (hardcover),Desire of the everlasting hills : the world before and after Jesus / Thomas Cahill.,X,,
i11682528,"Houston, Tex. : Cashnab Dudley, c1999.",658 M644,0,,  -  -    ,0884157520 (alk. paper),"Managing smart : 325 high-performance tips every manager must know / Lynne Milgram, Alan Spector, and Matt Treger.",ONLY PRATT,,
i11682619,"Knoxville : University of Tennessee Press, c1980.",390.07 I95,1,,  -  -    ,0870492578;0870492918 (pbk.),The tape-recorded interview : a manual for field workers in folklore and oral history / Edward D. Ives.,X,,
i1168267x,"New York, Walker [1968]",330.94 C647EC,0,,  -  -    ,,"Economic history of Europe, twentieth century, edited by Shepard B. Clough, Thomas Moodie [and] Carol Moodie. Maps by Willow Roberts.",,,
i11682899,"Oxford ; New York : Oxford University Press, 2001.",297.2 S121,0,1,  -  -    ,0195139917 (cloth : alk. paper),The Islamic roots of democratic pluralism / Abdulaziz Sachedina.,,,
i11682905,"New York : Grosset/Putnam, c1998.",296.16 S582,1,,  -  -    ,039914448X,Heavenly powers : unraveling the secret history of the Kabbalah / Neil Asher Silberman.,X,,
i11683156,"New York : Guilford Press, c2000.",616.928 C526,0,1,  -  -    ,1572305282 (cloth),Techniques of child therapy : psychodynamic strategies / Morton Chethik.,ONLY PRATT,,
i11683235,"London : British Library ; New Castle, DE : Oak Knoll Press, 2000.",686.20941 K99A,0,,  -  -    ,0712347046 (British Library);1584560460 (Oak Knoll Press),"The Kynoch Press : the anatomy of a printing house, 1876-1981 / Caroline Archer.",X,,
i11683429,"New York : Harcourt, c2001.",307.760973 L431,0,1,  -  -    ,151005524,America's undeclared war : what's killing our cities and how to stop it / Daniel Lazare.,X,,
i11683430,"Alexandria, Va., USA : Association for Supervision and Curriculum Development, c2001.",371.334 L672,2,,  -  -    ,871205114,Using the Internet to strengthen curriculum / Larry Lewin.,,,
i11683703,"Amsterdam : Time-Life Books BV, c1998.",291.13095 K41,3,,  -  -    ,705435539,"Epics of early civilization. Myths of the ancient near East / [writers, Michael Kerrigan, Alan Lothian, Piers Vitebsky ; consultant, Jeremy Black].",ONLY PRATT,,
i11683855,"New York, N.Y., U.S.A. : Viking, 2001.",194 W422G,0,,  -  -    ,0670899984 (alk. paper),Simone Weil / Francine du Plessix Gray.,X,,
i11683910,"Boston : Houghton Mifflin, c2001.",261.09 C319,0,2,  -  -    ,395779278,Constantine's sword : the church and the Jews : a history / James Carroll.,X,,
i1168415x,"New York, N.Y., U.S.A. : Penguin Books, 1986, c1985.",302.234 P858A,3,1,  -  -    ,0140094385 (pbk.) : $6.95 ($8.95 Can.),Amusing ourselves to death : public discourse in the age of show business / Neil Postman.,X,,
i11684367,"New York : Random House, c1992.",223.1 S128,1,,  -  -    ,0679417559 (acid-free paper) : $23.00 ($29.00 Can.);067974858X,The first dissident : the book of Job in today's politics / William Safire.,X,,
i11684604,"New York : Wiley, c2001.",333.338 E55P,2,,  -  -    ,0471403946 (cloth : alk. paper),"Empire : a tale of obsession, betrayal, and the battle for an American icon / Mitchell Pacelle.",X,,
i11686984,"New York : Norton, 2001.",599.9 S983,3,,  -  -    ,393020185,The seven daughters of Eve / Bryan Sykes.,X,,
i11687277,"New York : Anchor Books, c2000.",337 F911,3,,  -  -    ,385499345,The Lexus and the olive tree / Thomas L. Friedman.,,,
i11688877,"New York : Norton, c1997.",306.34 C734,4,1,  -  -    ,0393316734 (pbk.);0393046214 (hard cover),Commodify your dissent : salvos from The Baffler / edited by Thomas Frank and Matt Weiland.,X,,
i11689614,"New York : Doubleday, c1992.",355.001 G852,0,0,  -  -    ,0385418574 : $22.50 ($28.00 Can.),A chorus of stones : the private life of war / Susan Griffin.,X,,
i11689638,"New York : Hill and Wang, 2001.",331.88097 J78G,2,0,  -  -    ,0809070936 (alk. paper),Mother Jones : the most dangerous woman in America / Elliott J. Gorn.,X,,
i11689687,"London ; San Francisco : AK, c1999.",306.10974 O36,1,,  -  -    ,1873176163 (pbk),The philosophy of punk : more than noise!! / Craig O'Hara.,X,,
i11689730,"San Francisco : HarperSanFrancisco, c2001.",225.93 C951,0,1,  -  -    ,0060616334 0062516334 (cloth : alk. paper);0060616342 (pbk. : alk. paper)),"Excavating Jesus : beneath the stones, behind the texts / John Dominic Crossan & Jonathan L. Reed.",X,,
i11689833,"Princeton : Princeton University Press, c2001.",305.8 W724,1,1,  -  -    ,0691058008 (alk. paper),Playing the race card : melodramas of black and white from Uncle Tom to O.J. Simpson / Linda Williams.,X,,
i11689924,"Oxford ; New York : Oxford University Press, 1998.",192 L814zL,2,0,  -  -    ,0198751966 (alk. paper);0198751974 (pbk. : alk. paper),Locke / edited by Vere Chappell.,,,
i11690021,"Northvale, N.J. : Jason Aronson, c1992.",616.8917 P9747,0,,  -  -    ,0876685084 (hard cover) : $50.00,Psychotherapy : the analytic approach / edited by Morton J. Aronson and Melvin A. Scharfman.,X,,
i11690082,"London : HarperCollins, 1996.",296.15 D2781,1,,  -  -    ,0006280161;9780006280163,"The Dead Sea Scrolls : a new translation / Michael Wise, Martin Abegg and Edward Cook.",ONLY PRATT,,
i11703222,"Nashville : T. Nelson, c1999.",242 I32,1,0,  -  -    ,0785242244;0785242473,Imitatio Christi. English.;Imitation of Christ / Thomas à Kempis.,ONLY PRATT,,
i11704019,"New York : Times Books/Henry Holt, 2001.",071.3 W956,1,0,  -  -    ,080506849X,Written into history : Pulitzer Prize reporting of the twentieth century from the New York times / edited and with an introduction by Anthony Lewis.,X,,
i11704196,"New York : Harcourt, c2001.",303.483 S736,0,0,  -  -    ,151005095,"Ruling the waves : cycles of discovery, chaos, and wealth from compass to the Internet / Debora L. Spar.",,,
i11704202,"Berkeley, Calif. : Peachpit, c2002.",070.50285 Q1BLAT,3,1,  -  -    ,201354926,Real world QuarkXPress 5 : for Macintosh and Windows / by David Blatner.,ONLY PRATT,,
i11704275,New York : Pantheon Books c2002.,305.896073 K36,3,1,  -  -    ,375421726,Nigger : the strange career of a troublesome word / Randall Kennedy.,X,,
i11704391,"Naperville, IL : Sourcebooks, c2000.",362.88 L747,1,0,  -  -    ,1570714746 (acid-free paper),The date rape prevention book : the essential guide for girls & women / Scott Lindquist.,X,,
i11704809,"New York : Viking, 2001.",681.14 B112S,0,0,  -  -    ,0670910201 (alk. paper),The difference engine : Charles Babbage and the quest to build the first computer / Doron Swade.,X,,
i11704834,"Berkeley, Calif. : London : Osborne/McGraw-Hill, 2001.",070.50285 Q1BA,2,1,  -  -    ,72193182,QuarkXpress 5 : the complete reference / Steven Bain.,ONLY PRATT,,
i11705851,"Cambridge : Massachusetts Institute of Technology, Dept. of Architecture, c2001.",391.001 F248,0,0,  -  -    ,,"Fashion / [editors, Matthew J. Simitis, Zeynep E. Celik].",,,
