Record Number,Publication Info.,Call No.,Horizon checkouts,Old in-house uses,Checkout Date,Standard No.,Title,CNY
i1097622x,"New York : Oxford University Press, [1968].",343.2 H325P,5,,  -  -    ,,Punishment and responsibility : essays in the philosophy of law / by H.L.A. Hart.,
i10976231,"Charlottesville, Va., Dominion Books [1964, c1938]",655.1 W958C2,0,,  -  -    ,,"The colonial printer, by Lawrence C. Wroth.",
i10976309,"Philadelphia, American Sunday-School Union [c1933]",220.9 B29A,5,,  -  -    ,,"Archaeology and the Bible, by George A. Barton.",
i1097636x,"London, Collins, 1946.",655.1 M614E,6,,  -  -    ,,English printed books [by] Francis Meynell. With 8 plates in colour and 21 illustrations in black & white.,
i10976620,"Bloomington : Indiana University Press, c1985.",330.978 N249,2,,  -  -    ,253306493,The American West transformed : the impact of the Second World War / Gerald D. Nash.,X
i10976711,"Boston, Lothrop, Lee & Shepard [1884]",398.2 B93A5,5,1,  -  -    ,,"The age of chivalry; or Legends of King Arthur, ""King Arthur and his knights"", ""The Mabinogeon"", ""The crusades"", ""Robin Hood"", etc., by Thomas Bulfinch.",
i10976814,"New York : Dutton, c1985.",641.5 C585,12,,  -  -    ,525243526,Craig Claiborne's memorable meals / Craig Claiborne.,X
i10976826,"Durham [N.C.] : Duke University Press, 1985.",299.6 A258,6,1,  -  -    ,0822305917;0822305941 (pbk.),Afro-American religious history : a documentary witness / edited by Milton C. Sernett.,X
i10976899,"Homewood, Ill. : R. D. Irwin, 1975.",658.4 A326,6,,  -  -    ,256016666,Management : toward accountability for performance / Robert Albanese.,X
i10976905,"Blue Ridge Summit, Pa. : Tab Books, 1983.",657.30285 S664,1,,  -  -    ,0830615229 : $25.95,"How to use SuperCalc / by Deborrah Smithy-Willis, Jerry Willis, & Merl K. Miller.",ONLY PRATT
i10976954,"Phoenix, Ariz. : Oryx Press, 1984.",371.394 C738,9,1,  -  -    ,089774196X (pbk.),"Computer literacy for teachers : issues, questions, and concerns / edited by John H. Tashner.",ONLY PRATT
i10977016,"New York : Basic Books, c1985.",153 G227,8,,  -  -    ,0465046347 : $22.50,The mind's new science : a history of the cognitive revolution / Howard Gardner.,X
i10977028,"Asheville, N.C. : Lark Books, 1984.",391 E68,6,1,  -  -    ,0937274135 : $17.95,Klader! : creating fantastic clothes / Nina Ericson.,ONLY PRATT
i10977132,"Reading, Mass. : Addison-Wesley Pub. Co., 1985.",155.422 K63,17,,  -  -    ,0201116723 (pbk.) : $10.95,"The amazing newborn / Marshall H. Klaus, Phyllis H. Klaus.",ONLY PRATT
i10977156,"Reading, Mass. : Addison-Wesley, c1986.",604.2 E12D,60,,  -  -    ,0201102390 : $30.95,Drafting technology / James H. Earle.,ONLY PRATT
i10977405,"New York : Academy of Political Science, 1979.",332.41 I43,3,,  -  -    ,,Inflation and national survival / edited by Clarence C. Walton.,
i10977429,"New York, A. M. Kelley, bookseller, 1965.",331 V395E,1,,  -  -    ,,The engineers and the price system.,
i10977430,"London, Macmillan, 1956.",332.45 C956A,1,,  -  -    ,,The ABC of the foreign exchanges.,
i10977466,"Gloucester, Mass., P. Smith, 1960 [c1934]",331.89 A198A,0,,  -  -    ,,Dynamite: the story of class violence in America.,
i10977491,"Boston : Little, Brown, c1976.",355.021 L317,0,,  -  -    ,316514691,Guerrilla : a historical and critical study / Walter Laqueur.,
i10977521,"New York, Hillary House Publishers, 1960.",335.9 N832C1,1,,  -  -    ,,"The communistic societies of the United States; from personal visit and observation: including detailed accounts of the Economists, Zoarites, Shakers, the Amana, Oneida, Bethel, Aurora, Icarian, and other existing societies; their religious creeds, social practices, numbers, industries, and present condition.",
i10977776,"New York : Macmillan Pub. Co. ; London : Collier Macmillan, c1985.",523.1 H318,16,,  -  -    ,29487803,Masks of the universe / Edward Harrison.,
i10977788,"Blue Ridge Summit, Pa. : Tab Books, 1984.",001.6424 D391,15,,  -  -    ,0830607374 : $18.95;083061737X (pbk.) : $10.95,The FORTRAN cookbook / by Thomas P. Dence.,X
i10977855,"Berlin ; New York : Springer-Verlag, c1985.",530.41 H925,4,,  -  -    ,0387156313 (U.S.) : $35.00 (est.),Electronic properties of materials : an introduction for engineers / Rolf E. Hummel.,X
i10977880,"New York : Dodd, Mead, c1985.",574 W433,1,,  -  -    ,396086187,The Woods Hole Cantata : essays on science and society / Gerald Weissmann ; foreword by Lewis Thomas.,X
i10978331,"Garden City, N.Y., Doubleday, 1968.",301.42 G968,4,,  -  -    ,,The young marriage; a handbook for those who marry young and for the early years of marriage [by] Mary Anne Guitar and the editors of Good housekeeping.,
i10978379,"London, Macmillan and co., 1947.",330.182 A428,3,,  -  -    ,,"Mathematical analysis for economists, R. G. D. Allen.",
i10978549,"Garden City, N.Y., Doubleday, 1965.",428 L675,5,,  -  -    ,,Thirty days to better English.,ONLY PRATT
i10978768,"Orlando : Academic Press, 1985.",331.636 H673,5,,  -  -    ,0121186407 (alk. paper),"Hispanics in the U.S. economy / edited by George J. Borjas, Marta Tienda.",X
i10978793,"New York : Pantheon, 1986.",001.64 R841,8,,  -  -    ,394546229,The cult of information : the folklore of computers and the true art of thinking / Theodore Roszak.,X
i10978860,"Englewood Cliffs, N.J. : Prentice-Hall, c1985.",155.422 W582,5,,  -  -    ,133191877,The first three years of life / Burton L. White.,
i10978951,"New York : H. Holt, 1986, c1985.",338.762 G394,1,,  -  -    ,30037697,The house of Getty / Russell Miller.,
i10979050,"New York : St. Martin's Press, c1985.",305.50947 W734,1,,  -  -    ,0312457634 : $16.95,Klass : how Russians really live / by David K. Willis.,X
i10979177,"Pullman, WA : Information Futures, c1978.",378.17 D262,2,,  -  -    ,,Instructional improvement : an assessment of programs at sixteen universities / by John A. Davis.,ONLY PRATT
i10979189,"New York, McGraw-Hill, 1955.",388.1 M434T,3,,  -  -    ,,"Traffic engineering [by] Theodore M. Matson, Wilbur S. Smith [and] Frederick W. Hurd.",
i10979219,"New York, Viking Press, 1946.",394.1 P261H,4,,  -  -    ,,"Here let us feast, a book of banquets.",
i10979268,"New York, Time inc. [1962]",551.4 M659,9,,  -  -    ,,"The mountains, by Lorus J. Milne and Margery Milne and the editors of Life.",
i10979396,"New York : Vogue Patterns, 1975.",687.042 N532S3,2,,  -  -    ,,The Vogue sewing book.,
i10979402,"New York : Vogue Patterns, 1975.",687.042 N532S3,5,,  -  -    ,,The Vogue sewing book.,
i10979517,"Basel : Verlag Birkhauser, 1945.",652 T879S,1,,  -  -    ,,Schatzkammer der Schreibkunst : Meisterwerke der Kalligraphie aus vier Jahrhunderten auf zweihundert Tafeln / ausgewahlt und eingeleitet von Jan Tschichold.,
i10979682,"Glenview, Ill. : Scott, Foresman, c1985.",001.64404 G796,16,,  -  -    ,0673180654 (pbk.) : $17.95,Local area networks : a user's guide for business professionals / James Harry Green.,ONLY PRATT
i10979785,"Englewood Cliffs, N.J., Prentice-Hall [1968]",340.0973 A512,0,,  -  -    ,,Law in a changing America.,X
i10979864,"San Francisco, Calif. : ICS Press, c1985.",370.973 E245,2,,  -  -    ,0917616723 (jacket) : $29.95;0917616715 (pbk.),Education on trial : strategies for the future / edited by William J. Johnston.,X
i10979888,"New York : Pantheon Books, c1985.",364.973 C976,1,,  -  -    ,394532198,Confronting crime : an American challenge / Elliott Currie.,X
i10979906,"New York : Wiley, c1984.",628.5 C752,6,,  -  -    ,0471862495 : $35.00 (est.),"Chemistry and ecotoxicology of pollution / Des W. Connell, Gregory J. Miller.",X
i10980039,"New York : St. Martin's Press, 1985.",330.9439 B488,1,,  -  -    ,0312401183 : $25.00 (est.),The Hungarian economy in the twentieth century / Ivan T. Berend and Gyorgy Ranki.,X
i10980064,"New York : Crown, c1985.",523.8 C772,41,,  -  -    ,051755268X,The life & death of stars / by Donald A. Cooke ; introduction by Patrick Moore.,X
i10980192,"Chichester [West Sussex] : E. Horwood ; New York : Halsted Press, 1986.",620.042 B555C3,17,,  -  -    ,0853129096;0470201800 (Halsted Press : pbk.);0470202424 (Halsted Press : lib. bdg.),"Computer-aided design and manufacture / C.B. Besant, C.W.K. Lui.",ONLY PRATT
i10980325,"Westport, Conn. : Greenwood Press, 1985.",344.73079 I46,0,,  -  -    ,0313246076 (lib. bdg.),Freedom for the college student press : court cases and related decisions defining the campus fourth estate boundaries / Louis E. Ingelhart.,X
i10980337,"New York : W.W. Norton, c1985.",574.8732 M116,30,1,  -  -    ,0393019519 : $14.95,The transforming principle : discovering that genes are made of DNA / Maclyn McCarty.,
i10980799,"Woodstock, N.Y. : Overlook Press, 1986.",643.7 E93,11,,  -  -    ,0879510900 :;0879512393 (pbk.),The old-house doctor / Christopher Evers ; illustrated by Harriet Hason.,X
i10980805,"Woodstock, N.Y. : Overlook Press, 1986.",643.7 E93,2,,  -  -    ,0879510900 :;0879512393 (pbk.),The old-house doctor / Christopher Evers ; illustrated by Harriet Hason.,X
i10980933,"New York, McGraw-Hill [1967]",658 M471,1,,  -  -    ,,"Handbook of business administration. H. B. Maynard, editor-in- chief.",
i10980945,"Philadelphia, New York, J.B. Lippincott Company [1945]",646.01 E64F,14,,  -  -    ,,"Fashion is our business, by Beryl Williams ...",
i10981329,"New York : Oxford University Press, 1985.",305.4 W8726,12,,  -  -    ,195204905,"Women, a world report.",X
i10982449,"Toronto ; New York : Van Nostrand Reinhold, 1982.",643.7 H974,0,,  -  -    ,0770600298 0770600239 (pbk.) : $29.95,Restoring houses of brick & stone / Nigel Hutchins.,ONLY PRATT
i10982620,"Philadelphia, J.B. Lippincott company [1935]",655 P824,6,,  -  -    ,,"The art of the book and its illustration, by Jan Poortenaar;with a chapter by Prof. Dr. Maurits Sabbe and a foreword by C. H. St. J. Hornby.",
i10982735,"New York, American Heritage Pub. Co.; book trade distribution by Harper & Row [1964]",270 B162,7,,  -  -    ,,"The Horizon history of Christianity, by the editors of Horizon magazine. Editor in charge: Marshall B. Davidson. Author: Roland H. Bainton.",
i10982747,"New York, American Heritage Pub. Co.; book trade distribution by Harper & Row [1964]",270 B162,7,,  -  -    ,,"The Horizon history of Christianity, by the editors of Horizon magazine. Editor in charge: Marshall B. Davidson. Author: Roland H. Bainton.",
i10983314,"New York, Cross-Currents Press [1961]",338.947 C734P,0,,  -  -    ,,"Program of the Communist Party of the Soviet Union, draft. [To be presented to the party's twenty-second congress in October, 1961]",ONLY PRATT
i10983326,"New York, Cross-Currents Press [1961]",338.947 C734P,0,,  -  -    ,,"Program of the Communist Party of the Soviet Union, draft. [To be presented to the party's twenty-second congress in October, 1961]",ONLY PRATT
i10983387,"Chapel Hill, University of North Carolina Press [1958]",371.974 H283S,3,,  -  -    ,,"Separate and unequal; public school campaigns and racism in the Southern Seaboard States, 1901-1915.",
i10983466,"New York, N.Y. : New American Library, c1986.",001.6424 P846,10,,  -  -    ,452258405,Software spare parts : C language routines and utilities / by Kent Porter.,ONLY PRATT
i10983880,"Cambridge, University Press, 1927.",370 L79A,4,,  -  -    ,,"Some thoughts concerning education, by John Locke. With introduction and notes by the Rev. R.H. Quick.",
i10983922,"[Stanford, Calif.] : Hoover Institution, Stanford University, c1980.",330.973 U58,1,,  -  -    ,0817972811 : $20.00,"The United States in the 1980s / editors, Peter Duignan, Alvin Rabushka ; foreword, W. Glenn Campbell.",X
i10983946,"New York, W. W. Norton and Co., Inc. [195-?]",364 P957S,6,,  -  -    ,,Stand and deliver; the story of the highwaymen.,
i10984082,"New York, Holt, Rinehart and Winston [1970]",371.3352 R827,3,,  -  -    ,03081104X,Film and the liberal arts [compiled by] T. J. Ross.,
i10985244,"Princeton, Princeton University Press, 1918.",364 W894,0,,  -  -    ,,"Crime prevention, by Arthur Woods... a lecture on the Spencer Trask Foundation, delivered at Princeton University.",
i1098530x,"Chicago, Ill., University of Chicago Press [1933]",378.12 R332U,5,,  -  -    ,,The university faculty [by] Floyd W. Reeves [and others],
i10985311,"Philadelphia, Auerbach Publishers [1973]",362.11 G239,12,,  -  -    ,877691568,Hospitals--a systems approach [by] Raymon D. Garrett.,
i10985499,"Delhi : Director, Publications Division, Ministry of Information and Broadcasting, 1968.",398.33 I39F,1,,  -  -    ,,"Festivals of India / Publications Division, Ministry of Information and Broadcasting.",
i10985918,"Cambridge, Mass. : MIT Press, c1981.",629.892 P324,17,,  -  -    ,026216082X,"Robot manipulators : mathematics, programming, and control : the computer control of robot manipulators / Richard P. Paul.",
i10985955,"Englewood Cliffs, N.J. : Prentice Hall, c1986.",621.4 K64,7,,  -  -    ,132773449,Energy technologies and conversion systems / Merlin H. Kleinbach and Carlton E. Salvagin.,X
i10985967,"New York : Simon and Schuster, c1984.",621.3817 R358,3,,  -  -    ,671453939,The chip : how two Americans invented the microchip and launched a revolution / by T.R. Reid.,
i10986091,"Cambridge, Mass. : MIT Press, c1985.",304.5 K62,9,,  -  -    ,262111098,Vaulting ambition : sociobiology and the quest for human nature / Philip Kitcher.,X
i1098642x,"New York : Wiley, c1984.",692.20285 B472,16,,  -  -    ,471886211,Construction detail banking : systematic storage and retrieval / Philip M. Bennett.,ONLY PRATT
i10986741,"New York, McGraw-Hill [1969, c1968]",658.5 H326,6,,  -  -    ,29.5,"Management information systems handbook: analysis, requirements determination, design and development, implementation and evaluation [by] W. Hartman, H. Matthes [and] A. Proeme.",
i10986819,"New York : Oxford University Press, 1985.",510.9 K65MA,3,,  -  -    ,019503533X,Mathematics and the search for knowledge / Morris Kline.,X
i10986996,"Englewood Cliffs, N.J. : Prentice-Hall, c1979.",620.23 I72,6,,  -  -    ,134615743,Industrial noise and vibration control / J. D. Irwin and E. R. Graf.,X
i10987010,"Huntington, N.Y. : R. E. Krieger Pub. Co., 1980, c1965.",515.35 F855,9,,  -  -    ,898742285,Discrete-time systems : an introduction to the theory / Herbert Freeman.,
i10987046,"New York, N.Y., U.S.A. : Viking, 1985.",609 C594,15,,  -  -    ,0670804835 : $29.95,Works of man / Ronald W. Clark.,X
i10987058,"New York, N.Y., U.S.A. : Viking, 1985.",609 C594,5,,  -  -    ,0670804835 : $29.95,Works of man / Ronald W. Clark.,X
i10987137,"Cambridge, Mass. : MIT Press, c1985.",331.0973 C437,3,,  -  -    ,0262110954;0262610396 (pbk.),Challenges and choices facing American labor / edited by Thomas A. Kochan.,X
i10987381,"Englewood Cliffs, NJ : Prentice-Hall, c1984.",604.2 S744,16,,  -  -    ,0132788799 : $28.95,Engineering graphics / William P. Spence.,X
i1098768x,"Blue Ridge Summit, Pa. : Tab Books, c1984.",643.7 W137,9,,  -  -    ,0830602151 : $24.95;0830615156 (pbk.) : $15.95,"Home remodeling--a how-to, money-saving handbook / by Bette Galman Wahlfeldt.",ONLY PRATT
i10987745,"London, New York, Studio Publications [1951]",655 E21A,3,,  -  -    ,,"The art of the book; some record of work carried out in Europe and the U.S.A., 1939-1950.",
i10987782,"Englewood Cliff, N.J. : Prentice-Hall, c1985.",621.38043 C126,21,,  -  -    ,0138095426 : $34.95,"Signals, systems, and transforms / James A. Cadzow, Hugh F. Van Landingham.",X
i10987794,"Englewood Cliffs ; London : Prentice-Hall, 1986.",629.831 B218,4,2,  -  -    ,0131717944 (cased) : L.29.95;0131717782 (pbk) : L.14.95,"Control systems engineering : modelling and simulation, control theory and microprocessor implementation / Stephen P. Banks.",X
i10988026,"New York : Wiley, c1984.",658.155 P236,3,1,  -  -    ,471876712,"Cost engineering analysis : a guide to economic evaluation of engineering projects / William R. Park, Dale E. Jackson.",X
i10988038,"New York : Wiley, c1984.",363.7 O78,7,,  -  -    ,0471870714 : $31.00 (est.),Environmental planning and decision making / Leonard Ortolano.,X
i10988294,"Cambridge, Mass. : MIT Press, c1982.",307.76 C952,5,,  -  -    ,262030810,"Spanish city planning in North America / Dora P. Crouch, Daniel J. Garr, and Axel I. Mundigo.",X
i10988300,"Cambridge, Mass. : Harvard University Press, 1985.",305.8 L677,5,,  -  -    ,0674745795 (alk. paper),Racial conflict and economic development / W. Arthur Lewis.,X
i10988324,"New York : McGraw-Hill, c1985.",660.2969 D235,7,,  -  -    ,0070154139 : $40.00 (est.),Chemical engineering thermodynamics / Thomas E. Daubert.,X
i10988373,"New York : McGraw-Hill Book Co., c1986.",536.2 H747H6,39,,  -  -    ,0070296200 : $39.95 (est.),Heat transfer / J.P. Holman.,X
i10988415,"New York, Columbia University Press, 1970.",331.11 S784,2,,  -  -    ,231034261,"The metropolitan economy; the process of employment expansion, by Thomas M. Stanback, Jr. and Richard V. Knight. Foreword by Eli Ginzberg.",
i10988439,"New York, Russell & Russell, 1965.",370.9 W912S,2,,  -  -    ,,"Studies in education during the age of the Renaissance, 1400-1600.",
i10988440,"New York : McGraw-Hill, c1982.",621.38043 J79,5,,  -  -    ,0070330255;0070330263 (solutions manual),Methods of discrete signal and system analysis / M.T. Jong.,X
i10988543,"New York : Wiley, c1984.",621.89 F965,3,,  -  -    ,0471047031 : $48.00 (est.),Theory and practice of lubrication for engineers / Dudley D. Fuller.,X
i10988555,"New York : Plenum Press, c1984.",500 G624,1,,  -  -    ,306415380,The experience of science : an interdisciplinary approach / Martin Goldstein and Inge Goldstein.,X
i10988609,"New York : Wiley, c1986.",512.5 H178C2,0,,  -  -    ,0471091383 : $25.95 (est.),"Combinatorial theory / Marshall Hall, Jr.",X
i10988634,"New York : McGraw, c1984.",658.404 H154M,6,1,  -  -    ,0070255369 : $29.95,Management of engineering projects / Victor G. Hajek.,X
i10988646,"Chapel Hill : Published for the Institute of Early American History and Culture by the University of North Carolina Press, c1985.",330.973 M133,1,,  -  -    ,807816353,"The economy of British America, 1607-1789 / John J. McCusker & Russell R. Menard.",
i10988750,"New York : McGraw-Hill, c1984.",620.0076 C757E4,6,,  -  -    ,0070124582 : $40.25,Electrical engineering for professional engineers' examinations / John D. Constance.,X
i10988804,"Madison, Wis. : University of Wisconsin Press, 1985.",574.192 L414,3,,  -  -    ,0299099806 : $38.50,Lavoisier and the chemistry of life : an exploration of scientific creativity / Frederic Lawrence Holmes.,X
i10988889,"Boston : Atlantic Monthly Press, 1986.",690.837 C689,8,,  -  -    ,087113019X : $24.95;0871130289 (pbk.) : $14.95,Breaking new ground / by John N. Cole and Charles Wing ; drawings by Charles Wing.,X
i10988907,"Austin : University of Texas Press, 1984.",551.2 B935Vo,13,,  -  -    ,0292787065;0292787073 (pbk.),Volcanoes of the Earth / by Fred M. Bullard.,X
i10989183,"Manchester ; Dover, N.H., USA : Manchester University Press, c1985.",324.2417 G162,0,,  -  -    ,0719017424 : $19.00,Political parties in the Republic of Ireland / Michael Gallagher.,X
i10989298,"Manchester ; Dover, N.H. : Manchester University Press, c1983.",341.45 C563,1,,  -  -    ,0719009367 : $35.00,The law of the sea / R.R. Churchill and A.V. Lowe.,
i10989365,"Englewood Cliffs, NJ : Prentice-Hall, c1986.",006.6 W753,3,,  -  -    ,0139383417 (pbk.),Using computers to create art / Stephen Wilson.,X
i10989559,"Berkeley : SYBEX, 1985.",001.6425 K54,23,,  -  -    ,0895881853 (pbk.),The MS-DOS handbook / Richard Allen King.,X
i10989675,"Chichester ; New York : Wiley, c1984.",001.642 W177,19,,  -  -    ,047190564X (pbk.) : $20.40 (U.S.),The UNIX environment / A.N. Walker.,X
i10989699,"New York : Macmillan ; London : Collier Macmillan, c1985.",001.6424 N994,47,,  -  -    ,002388620X (pbk.),"FORTRAN 77 for engineers and scientists / Larry Nyhoff, Sanford Leestma.",ONLY PRATT
